position_id,position_salary,position_name,position_url,position_city,position_area,position_publishtime,work_year,education,position_desc,position_tags,hr_id,company_name,company_id,company_url,company_desc
5587880,15k-30k,11215N-Python开发工程师,https://www.lagou.com/jobs/5587880.html,北京,朝阳区,00:00发布,经验3-5年,本科,“五险一金，带薪年假，节日福利，绩效奖金”,/数据库/,811225,平安科技,24748,https://www.lagou.com/gongsi/24748.html,金融 / 不需要融资 / 2000人以上
5720807,12k-20k,python开发工程师,https://www.lagou.com/jobs/5720807.html,成都,高新区,12:17发布,经验3-5年,本科,“福利待遇好，发展前景广”,/大数据//分布式//数据挖掘/,12417557,成都信通,143033,https://www.lagou.com/gongsi/143033.html,移动互联网 / 不需要融资 / 50-150人
5724657,10k-15k,python开发工程师,https://www.lagou.com/jobs/5724657.html,深圳,南山区,09:59发布,经验1-3年,本科,“丰厚年终，两次旅游，两次调薪”,/游戏/,569371,乐易网络,33627,https://www.lagou.com/gongsi/33627.html,移动互联网，游戏 / A轮 / 150-500人
5717888,10k-20k,python,https://www.lagou.com/jobs/5717888.html,苏州,独墅湖,09:28发布,经验3-5年,本科,“五险一金定期团建朝九晚六双休节日福利优渥”,/后端/,10948551,BeeCloud,39201,https://www.lagou.com/gongsi/39201.html,移动互联网，数据服务 / A轮 / 15-50人
5460148,20k-40k,python工程师,https://www.lagou.com/jobs/5460148.html,上海,黄浦区,08:58发布,经验不限,不限,“团队氛围好 成长空间大”,/后端//MySQL/,11052707,谷露软件,5002,https://www.lagou.com/gongsi/5002.html,数据服务，招聘 / A轮 / 50-150人
5727681,13k-18k,python开发工程师,https://www.lagou.com/jobs/5727681.html,广州,棠下,1天前发布,经验3-5年,本科,“200亿市场，3.5亿用户，0同类产品”,/后端/,749444,爱拍科技,112,https://www.lagou.com/gongsi/112.html,文化娱乐 / D轮及以上 / 150-500人
5730294,15k-25k,python开发工程师(J10137),https://www.lagou.com/jobs/5730294.html,北京,海淀区,1天前发布,经验1-3年,不限,“扁平管理 行业领先 氛围轻松”,/后端/,7321435,AdMaster,107408,https://www.lagou.com/gongsi/107408.html,数据服务 / 不需要融资 / 500-2000人
5715603,8k-12k,python开发,https://www.lagou.com/jobs/5715603.html,南京,雨花台区,10:16发布,经验1-3年,本科,“公司氛围轻松\团建\五险一金”,/Linux/Unix//MySQL/,12486895,Dilato,81354,https://www.lagou.com/gongsi/81354.html,移动互联网，企业服务 / 未融资 / 150-500人
5725220,20k-30k,python开发工程师,https://www.lagou.com/jobs/5725220.html,北京,酒仙桥,09:48发布,经验5-10年,本科,“上市公司，发展前景好”,/年底双薪//股票期权//带薪年假//定期体检/,5321992,奇虎360金融,142041,https://www.lagou.com/gongsi/142041.html,移动互联网，金融 / 未融资 / 500-2000人
5722601,8k-13k,Python开发工程师,https://www.lagou.com/jobs/5722601.html,深圳,前海,1天前发布,经验1-3年,大专,“5天7小时，年终奖，境外旅游，技术分享”,/移动互联网//后端//MySQL/,8045463,松茂科技,90570,https://www.lagou.com/gongsi/90570.html,移动互联网 / 不需要融资 / 50-150人
